Vivado Simulator 2018.2
Time resolution is 1 ps
                   0clk=0, d=0, z=x
                   7clk=1, d=0, z=x
                   9clk=1, d=1, z=0
                  14clk=0, d=1, z=0
                  18clk=0, d=0, z=0
                  21clk=1, d=0, z=0
                  27clk=1, d=1, z=0
                  28clk=0, d=1, z=0
                  35clk=1, d=1, z=0
                  36clk=1, d=0, z=0
                  42clk=0, d=0, z=0
                  45clk=0, d=1, z=0
                  49clk=1, d=1, z=0
                  54clk=1, d=0, z=0
                  56clk=0, d=0, z=0
                  63clk=1, d=1, z=0
                  70clk=0, d=1, z=0
                  72clk=0, d=0, z=0
                  77clk=1, d=0, z=0
                  81clk=1, d=1, z=0
                  84clk=0, d=1, z=0
                  90clk=0, d=0, z=0
                  91clk=1, d=0, z=0
                  98clk=0, d=0, z=0
                  99clk=0, d=1, z=0
                 105clk=1, d=1, z=0
                 108clk=1, d=0, z=0
                 112clk=0, d=0, z=0
                 117clk=0, d=1, z=0
                 119clk=1, d=1, z=0
                 126clk=0, d=0, z=0
                 133clk=1, d=0, z=0
                 135clk=1, d=1, z=0
                 140clk=0, d=1, z=0
                 144clk=0, d=0, z=0
                 147clk=1, d=0, z=0
                 153clk=1, d=1, z=0
                 154clk=0, d=1, z=0
                 161clk=1, d=1, z=0
                 162clk=1, d=0, z=0
                 168clk=0, d=0, z=0
                 171clk=0, d=1, z=0
                 175clk=1, d=1, z=0
                 180clk=1, d=0, z=0
                 182clk=0, d=0, z=0
                 189clk=1, d=1, z=0
                 196clk=0, d=1, z=0
                 198clk=0, d=0, z=0
                 203clk=1, d=0, z=0
                 207clk=1, d=1, z=0
                 210clk=0, d=1, z=0
                 216clk=0, d=0, z=0
                 217clk=1, d=0, z=0
                 224clk=0, d=0, z=0
                 225clk=0, d=1, z=0
                 231clk=1, d=1, z=0
                 234clk=1, d=0, z=0
                 238clk=0, d=0, z=0
                 243clk=0, d=1, z=0
                 245clk=1, d=1, z=0
                 252clk=0, d=0, z=0
                 259clk=1, d=0, z=0
                 261clk=1, d=1, z=0
                 266clk=0, d=1, z=0
                 270clk=0, d=0, z=0
                 273clk=1, d=0, z=0
                 279clk=1, d=1, z=0
                 280clk=0, d=1, z=0
                 287clk=1, d=1, z=0
                 288clk=1, d=0, z=0
                 294clk=0, d=0, z=0
                 297clk=0, d=1, z=0
                 301clk=1, d=1, z=0
                 306clk=1, d=0, z=0
                 308clk=0, d=0, z=0
                 315clk=1, d=1, z=0
                 322clk=0, d=1, z=0
                 324clk=0, d=0, z=0
                 329clk=1, d=0, z=0
                 333clk=1, d=1, z=0
                 336clk=0, d=1, z=0
                 342clk=0, d=0, z=0
                 343clk=1, d=0, z=0
                 350clk=0, d=0, z=0
                 351clk=0, d=1, z=0
                 357clk=1, d=1, z=0
                 360clk=1, d=0, z=0
                 364clk=0, d=0, z=0
                 369clk=0, d=1, z=0
                 371clk=1, d=1, z=0
                 378clk=0, d=0, z=0
                 385clk=1, d=0, z=0
                 387clk=1, d=1, z=0
                 392clk=0, d=1, z=0
                 396clk=0, d=0, z=0
                 399clk=1, d=0, z=0
                 405clk=1, d=1, z=0
                 406clk=0, d=1, z=0
                 413clk=1, d=1, z=0
                 414clk=1, d=0, z=0
                 420clk=0, d=0, z=0
                 423clk=0, d=1, z=0
                 427clk=1, d=1, z=0
                 432clk=1, d=0, z=0
                 434clk=0, d=0, z=0
                 441clk=1, d=1, z=0
                 448clk=0, d=1, z=0
                 450clk=0, d=0, z=0
                 455clk=1, d=0, z=0
                 459clk=1, d=1, z=0
                 462clk=0, d=1, z=0
                 468clk=0, d=0, z=0
                 469clk=1, d=0, z=0
                 476clk=0, d=0, z=0
                 477clk=0, d=1, z=0
                 483clk=1, d=1, z=0
                 486clk=1, d=0, z=0
                 490clk=0, d=0, z=0
                 495clk=0, d=1, z=0
                 497clk=1, d=1, z=0
                 504clk=0, d=0, z=0
                 511clk=1, d=0, z=0
                 513clk=1, d=1, z=0
                 518clk=0, d=1, z=0
                 522clk=0, d=0, z=0
                 525clk=1, d=0, z=0
                 531clk=1, d=1, z=0
                 532clk=0, d=1, z=0
                 539clk=1, d=1, z=0
                 540clk=1, d=0, z=0
                 546clk=0, d=0, z=0
                 549clk=0, d=1, z=0
                 553clk=1, d=1, z=0
                 558clk=1, d=0, z=0
                 560clk=0, d=0, z=0
                 567clk=1, d=1, z=0
                 574clk=0, d=1, z=0
                 576clk=0, d=0, z=0
                 581clk=1, d=0, z=0
                 585clk=1, d=1, z=0
                 588clk=0, d=1, z=0
                 594clk=0, d=0, z=0
                 595clk=1, d=0, z=0
                 602clk=0, d=0, z=0
                 603clk=0, d=1, z=0
                 609clk=1, d=1, z=0
                 612clk=1, d=0, z=0
                 616clk=0, d=0, z=0
                 621clk=0, d=1, z=0
                 623clk=1, d=1, z=0
                 630clk=0, d=0, z=0
                 637clk=1, d=0, z=0
                 639clk=1, d=1, z=0
                 644clk=0, d=1, z=0
                 648clk=0, d=0, z=0
                 651clk=1, d=0, z=0
                 657clk=1, d=1, z=0
                 658clk=0, d=1, z=0
                 665clk=1, d=1, z=0
                 666clk=1, d=0, z=0
                 672clk=0, d=0, z=0
                 675clk=0, d=1, z=0
                 679clk=1, d=1, z=0
                 684clk=1, d=0, z=0
                 686clk=0, d=0, z=0
                 693clk=1, d=1, z=0
                 700clk=0, d=1, z=0
                 702clk=0, d=0, z=0
                 707clk=1, d=0, z=0
                 711clk=1, d=1, z=0
                 714clk=0, d=1, z=0
                 720clk=0, d=0, z=0
                 721clk=1, d=0, z=0
                 728clk=0, d=0, z=0
                 729clk=0, d=1, z=0
                 735clk=1, d=1, z=0
                 738clk=1, d=0, z=0
                 742clk=0, d=0, z=0
