Vivado Simulator 2018.2
Time resolution is 1 ps
                   0 clk1=x, cout=0000, 
                   5 clk1=1, cout=0001, 
                  10 clk1=0, cout=0001, 
                  15 clk1=1, cout=0010, 
                  20 clk1=0, cout=0010, 
                  25 clk1=1, cout=0011, 
                  30 clk1=0, cout=0011, 
                  35 clk1=1, cout=0100, 
                  40 clk1=0, cout=0100, 
                  45 clk1=1, cout=0101, 
                  50 clk1=0, cout=0101, 
                  55 clk1=1, cout=0110, 
                  60 clk1=0, cout=0110, 
                  65 clk1=1, cout=0111, 
                  70 clk1=0, cout=0111, 
                  75 clk1=1, cout=1000, 
                  80 clk1=0, cout=1000, 
                  85 clk1=1, cout=1001, 
                  90 clk1=0, cout=1001, 
                  95 clk1=1, cout=0000, 
                 100 clk1=0, cout=0000, 
                 105 clk1=1, cout=0001, 
                 110 clk1=0, cout=0001, 
                 115 clk1=1, cout=0010, 
                 120 clk1=0, cout=0010, 
                 125 clk1=1, cout=0011, 
                 130 clk1=0, cout=0011, 
                 135 clk1=1, cout=0100, 
                 140 clk1=0, cout=0100, 
                 145 clk1=1, cout=0101, 
                 150 clk1=0, cout=0101, 
                 155 clk1=1, cout=0110, 
                 160 clk1=0, cout=0110, 
                 165 clk1=1, cout=0111, 
                 170 clk1=0, cout=0111, 
                 175 clk1=1, cout=1000, 
                 180 clk1=0, cout=1000, 
                 185 clk1=1, cout=1001, 
                 190 clk1=0, cout=1001, 
                 195 clk1=1, cout=0000, 
                 200 clk1=0, cout=0000, 
