Vivado Simulator 2018.2
Time resolution is 1 ps
time,	 clk,	 clr,	 q
0,	 x,	 0,	 xxxx
50,	 1,	 1,	 1000
100,	 0,	 1,	 1000
150,	 1,	 0,	 0100
200,	 0,	 0,	 0100
250,	 1,	 0,	 0010
300,	 0,	 0,	 0010
350,	 1,	 0,	 0001
400,	 0,	 0,	 0001
450,	 1,	 0,	 1000
500,	 0,	 0,	 1000
550,	 1,	 0,	 0100
600,	 0,	 0,	 0100
650,	 1,	 0,	 0010
700,	 0,	 0,	 0010
750,	 1,	 0,	 0001
800,	 0,	 0,	 0001
850,	 1,	 0,	 1000
900,	 0,	 0,	 1000
950,	 1,	 0,	 0100
1000,	 0,	 0,	 0100
1050,	 1,	 0,	 0010
1100,	 0,	 0,	 0010
1150,	 1,	 0,	 0001
1200,	 0,	 0,	 0001
1250,	 1,	 0,	 1000
1300,	 0,	 0,	 1000
1350,	 1,	 0,	 0100
1400,	 0,	 0,	 0100
1450,	 1,	 0,	 0010
1500,	 0,	 0,	 0010
1550,	 1,	 0,	 0001
1600,	 0,	 0,	 0001
1650,	 1,	 0,	 1000
1700,	 0,	 0,	 1000
1750,	 1,	 0,	 0100
1800,	 0,	 0,	 0100
1850,	 1,	 0,	 0010
1900,	 0,	 0,	 0010
1950,	 1,	 0,	 0001
2000,	 0,	 0,	 0001
2050,	 1,	 0,	 1000
2100,	 0,	 0,	 1000
2150,	 1,	 0,	 0100
2200,	 0,	 0,	 0100
2250,	 1,	 0,	 0010
2300,	 0,	 0,	 0010
2350,	 1,	 0,	 0001
2400,	 0,	 0,	 0001
2450,	 1,	 0,	 1000
2500,	 0,	 0,	 1000
2550,	 1,	 0,	 0100
2600,	 0,	 0,	 0100
2650,	 1,	 0,	 0010
2700,	 0,	 0,	 0010
2750,	 1,	 0,	 0001
2800,	 0,	 0,	 0001
2850,	 1,	 0,	 1000
2900,	 0,	 0,	 1000
2950,	 1,	 0,	 0100
3000,	 0,	 0,	 0100
